start;dest;number
1;2;6
1;3;3
1;4;10
1;5;3
1;6;5
1;7;3
1;8;5
1;9;5
1;10;4
2;1;6
2;3;1
2;4;4
2;5;8
2;6;1
2;7;4
2;8;5
2;9;9
2;10;3
3;1;5
3;2;5
3;4;10
3;5;5
3;6;10
3;7;3
3;8;6
3;9;8
3;10;6
4;1;3
4;2;5
4;3;7
4;5;6
4;6;7
4;7;8
4;8;1
4;9;0
4;10;4
5;1;0
5;2;2
5;3;10
5;4;5
5;6;10
5;7;1
5;8;9
5;9;2
5;10;9
6;1;7
6;2;8
6;3;9
6;4;9
6;5;7
6;7;1
6;8;4
6;9;5
6;10;9
7;1;2
7;2;1
7;3;8
7;4;4
7;5;1
7;6;3
7;8;7
7;9;8
7;10;3
8;1;10
8;2;9
8;3;7
8;4;6
8;5;8
8;6;0
8;7;9
8;9;9
8;10;2
9;1;7
9;2;4
9;3;8
9;4;0
9;5;1
9;6;1
9;7;1
9;8;7
9;10;9
10;1;4
10;2;10
10;3;8
10;4;10
10;5;9
10;6;3
10;7;5
10;8;8
10;9;10
